tau,freq
106.8,7.464903754995887e-07
106.9,3.7324518774979435e-07
107.4,3.7324518774979435e-07
107.6,3.7324518774979435e-07
107.7,3.7324518774979435e-07
107.8,3.7324518774979435e-07
108.0,3.7324518774979435e-07
108.1,3.7324518774979435e-07
108.3,3.7324518774979435e-07
108.4,3.7324518774979435e-07
108.7,3.7324518774979435e-07
108.8,3.7324518774979435e-07
109.0,3.7324518774979435e-07
109.6,3.7324518774979435e-07
109.9,3.7324518774979435e-07
110.0,7.464903754995887e-07
110.7,3.7324518774979435e-07
110.8,3.7324518774979435e-07
111.1,3.7324518774979435e-07
111.7,3.7324518774979435e-07
112.6,3.7324518774979435e-07
112.7,3.7324518774979435e-07
112.9,3.7324518774979435e-07
114.3,3.7324518774979435e-07
116.1,3.7324518774979435e-07
116.4,3.7324518774979435e-07
116.6,3.7324518774979435e-07
116.7,3.7324518774979435e-07
117.1,3.7324518774979435e-07
117.2,3.7324518774979435e-07
118.3,3.7324518774979435e-07
118.5,3.7324518774979435e-07
118.6,3.7324518774979435e-07
119.8,3.7324518774979435e-07
120.1,3.7324518774979435e-07
121.1,3.7324518774979435e-07
121.6,7.464903754995887e-07
121.7,3.7324518774979435e-07
122.1,3.7324518774979435e-07
122.7,3.7324518774979435e-07
123.0,3.7324518774979435e-07
123.4,3.7324518774979435e-07
123.9,3.7324518774979435e-07
124.3,3.7324518774979435e-07
124.4,3.7324518774979435e-07
124.5,3.7324518774979435e-07
125.1,3.7324518774979435e-07
125.5,3.7324518774979435e-07
125.7,3.7324518774979435e-07
125.8,3.7324518774979435e-07
126.0,3.7324518774979435e-07
126.2,3.7324518774979435e-07
126.3,3.7324518774979435e-07
126.5,3.7324518774979435e-07
127.1,3.7324518774979435e-07
127.2,3.7324518774979435e-07
127.6,3.7324518774979435e-07
128.0,3.7324518774979435e-07
128.1,3.7324518774979435e-07
128.5,3.7324518774979435e-07
128.6,3.7324518774979435e-07
128.9,3.7324518774979435e-07
129.0,3.7324518774979435e-07
129.3,3.7324518774979435e-07
129.4,3.7324518774979435e-07
129.5,3.7324518774979435e-07
129.7,3.7324518774979435e-07
